County_ID,name,year,SOS,EOS,VGS,RGS
57,和龙市,2015,152,298,77,67
52,延吉市,2012,154,296,76,66
52,延吉市,2015,151,295,77,66
57,和龙市,2012,151,293,76,67
56,龙井市,2015,151,293,77,66
38,抚松县,2016,145,292,81,66
33,柳河县,2007,149,292,76,67
34,梅河口市,2007,151,292,73,67
55,珲春市,2009,152,292,75,65
18,舒兰市,2018,152,292,72,64
29,东昌区,2016,141,291,82,67
16,蛟河市,2012,142,291,80,67
31,通化县,2007,143,291,82,66
17,桦甸市,2007,145,291,79,66
32,辉南县,2007,145,291,77,67
39,靖宇县,2015,145,291,78,67
53,图们市,2012,146,291,79,66
38,抚松县,2015,146,291,78,67
16,蛟河市,2016,146,291,78,67
52,延吉市,2016,146,291,80,66
59,安图县,2015,147,291,78,66
19,磐石市,2007,148,291,76,66
40,长白朝鲜族自治县,2015,148,291,78,66
3,二道区,2018,148,291,79,64
12,龙潭区,2018,148,291,76,66
33,柳河县,2019,148,291,76,66
53,图们市,2009,150,291,77,65
56,龙井市,2012,151,291,76,66
6,九台区,2018,151,291,75,64
52,延吉市,2009,152,291,73,65
55,珲春市,2012,153,291,71,66
29,东昌区,2010,134,290,88,66
38,抚松县,2012,135,290,88,67
39,靖宇县,2007,138,290,86,66
29,东昌区,2009,138,290,87,65
35,集安市,2009,138,290,85,66
35,集安市,2010,138,290,86,67
30,二道江区,2010,139,290,85,65
31,通化县,2010,139,290,85,66
29,东昌区,2007,140,290,85,65
29,东昌区,2019,141,290,83,66
31,通化县,2016,142,290,80,66
39,靖宇县,2016,142,290,82,66
26,西安区,2019,142,290,82,65
30,二道江区,2007,143,290,82,65
35,集安市,2007,143,290,82,66
32,辉南县,2010,143,290,79,66
52,延吉市,2013,144,290,79,66
33,柳河县,2016,144,290,79,66
16,蛟河市,2007,145,290,78,66
17,桦甸市,2009,145,290,77,67
33,柳河县,2010,145,290,78,66
56,龙井市,2013,145,290,79,66
4,绿园区,2018,145,290,80,64
38,抚松县,2019,145,290,80,65
33,柳河县,2009,146,290,76,66
53,图们市,2013,146,290,77,66
53,图们市,2015,146,290,78,66
53,图们市,2016,146,290,77,66
56,龙井市,2016,146,290,78,66
57,和龙市,2016,146,290,78,66
3,二道区,2019,146,290,78,66
36,浑江区,2007,147,290,79,65
41,临江市,2015,147,290,75,66
41,临江市,2016,147,290,76,66
21,铁东区,2019,148,290,76,65
27,东丰县,2019,148,290,77,65
52,延吉市,2019,148,290,77,65
59,安图县,2019,148,290,79,64
16,蛟河市,2015,149,290,74,66
57,和龙市,2009,150,290,76,65
2,朝阳区,2018,150,290,74,65
20,铁西区,2019,150,290,74,65
23,伊通满族自治县,2019,150,290,74,64
57,和龙市,2020,150,290,72,66
26,西安区,2007,151,290,73,65
56,龙井市,2009,151,290,74,65
10,公主岭市,2018,151,290,74,64
56,龙井市,2020,151,290,72,65
27,东丰县,2007,152,290,71,66
0,南关区,2018,152,290,74,65
8,榆树市,2018,152,290,72,64
20,铁西区,2018,152,290,71,66
21,铁东区,2018,152,290,72,66
3,二道区,2003,153,290,70,66
55,珲春市,2015,153,290,72,64
23,伊通满族自治县,2018,153,290,72,65
22,梨树县,2003,154,290,69,65
20,铁西区,2003,156,290,70,65
24,双辽市,2019,158,290,69,64
41,临江市,2012,133,289,89,65
37,江源区,2007,137,289,85,65
38,抚松县,2007,139,289,85,65
31,通化县,2009,140,289,83,65
59,安图县,2012,141,289,82,65
37,江源区,2016,141,289,82,65
57,和龙市,2013,142,289,80,66
17,桦甸市,2016,142,289,79,67
19,磐石市,2010,144,289,78,65
19,磐石市,2016,144,289,78,67
59,安图县,2016,144,289,80,64
29,东昌区,2017,144,289,80,64
40,长白朝鲜族自治县,2019,144,289,79,65
14,丰满区,2007,145,289,77,67
31,通化县,2015,146,289,76,66
1,宽城区,2018,146,289,76,66
