model_name,val_year,best_val_rmse,best_val_mae,best_val_mape,best_val_r2,best_epoch,seed,n_train_samples,n_val_samples
graph,2015,0.5950701236724854,0.49746981263160706,9.112187385559082,0.8159171342849731,14,42,462,33
graph,2016,0.7695091366767883,0.5370458364486694,9.891365051269531,0.7922986745834351,9,42,495,33
graph,2017,0.7996386289596558,0.5726855993270874,13.40009880065918,0.8238114714622498,9,42,528,28
graph,2018,0.6463573575019836,0.5256057381629944,9.73988151550293,0.6497570276260376,6,42,556,28
graph,2019,0.6937825679779053,0.4983483552932739,7.575423240661621,0.41922372579574585,4,42,584,33
graph,2015,0.5950701236724854,0.49746981263160706,9.112187385559082,0.8159171342849731,14,42,462,33
graph,2016,0.7695091366767883,0.5370458364486694,9.891365051269531,0.7922986745834351,9,42,495,33
graph,2017,0.7996386289596558,0.5726855993270874,13.40009880065918,0.8238114714622498,9,42,528,28
graph,2018,0.6463573575019836,0.5256057381629944,9.73988151550293,0.6497570276260376,6,42,556,28
graph,2019,0.6937825679779053,0.4983483552932739,7.575423240661621,0.41922372579574585,4,42,584,33
graph,2015,0.5950701236724854,0.49746981263160706,9.112187385559082,0.8159171342849731,14,42,462,33
graph,2016,0.7695091366767883,0.5370458364486694,9.891365051269531,0.7922986745834351,9,42,495,33
graph,2017,0.7996386289596558,0.5726855993270874,13.40009880065918,0.8238114714622498,9,42,528,28
graph,2018,0.6463573575019836,0.5256057381629944,9.73988151550293,0.6497570276260376,6,42,556,28
graph,2019,0.6937825679779053,0.4983483552932739,7.575423240661621,0.41922372579574585,4,42,584,33

