model_name,val_year,best_val_rmse,best_val_mae,best_val_mape,best_epoch,seed,n_train_samples,n_val_samples
graph,2015,0.6018176674842834,0.49576228857040405,9.00546932220459,14,42,462,33
graph,2016,0.8192722797393799,0.5829051733016968,10.480262756347656,9,42,495,33
graph,2017,0.7321170568466187,0.5218629240989685,12.099007606506348,9,42,528,28
graph,2018,0.6744176149368286,0.5351843237876892,10.238629341125488,6,42,556,28
graph,2019,0.7914050221443176,0.662835419178009,10.135790824890137,5,42,584,33
graph,2015,0.6018176674842834,0.49576228857040405,9.00546932220459,14,42,462,33
graph,2016,0.8192722797393799,0.5829051733016968,10.480262756347656,9,42,495,33
graph,2017,0.7321170568466187,0.5218629240989685,12.099007606506348,9,42,528,28
graph,2018,0.6744176149368286,0.5351843237876892,10.238629341125488,6,42,556,28
graph,2019,0.7914050221443176,0.662835419178009,10.135790824890137,5,42,584,33
